# corr_number image_ts depth_ts gt_ts x_pix y_pix tx ty tz qx qy qz qw
7 1305031102.575286 1305031102.575286 1305031102.562224 1305031102.5759 359.805211 335.4875931.243400 0.624400 1.550800 0.665100 0.632800 -0.275800 -0.284700
8 1305031102.375329 1305031102.375329 1305031102.363013 1305031102.3758 387.795285 457.5719601.292200 0.625600 1.604100 0.661700 0.621700 -0.291400 -0.301200
8 1305031102.475318 1305031102.475318 1305031102.462395 1305031102.4758 399.705955 445.0657571.268300 0.625500 1.577000 0.664400 0.629900 -0.284800 -0.284200
8 1305031102.575286 1305031102.575286 1305031102.562224 1305031102.5759 394.941687 445.0657571.243400 0.624400 1.550800 0.665100 0.632800 -0.275800 -0.284700
9 1305031102.275326 1305031102.275326 1305031102.262886 1305031102.2758 556.926799 315.8349881.316000 0.625400 1.630200 0.660900 0.619900 -0.289300 -0.308600
9 1305031102.375329 1305031102.375329 1305031102.363013 1305031102.3758 570.624069 305.7109181.292200 0.625600 1.604100 0.661700 0.621700 -0.291400 -0.301200
10 1305031102.175304 1305031102.175304 1305031102.160407 1305031102.1758 179.954094 322.3858561.340500 0.626600 1.657500 0.657400 0.612600 -0.294900 -0.324800
10 1305031102.275326 1305031102.275326 1305031102.262886 1305031102.2758 189.482630 306.9019851.316000 0.625400 1.630200 0.660900 0.619900 -0.289300 -0.308600
10 1305031102.375329 1305031102.375329 1305031102.363013 1305031102.3758 188.887097 299.1600501.292200 0.625600 1.604100 0.661700 0.621700 -0.291400 -0.301200
10 1305031102.475318 1305031102.475318 1305031102.462395 1305031102.4758 194.246898 286.0583131.268300 0.625500 1.577000 0.664400 0.629900 -0.284800 -0.284200
10 1305031102.575286 1305031102.575286 1305031102.562224 1305031102.5759 182.336228 275.3387101.243400 0.624400 1.550800 0.665100 0.632800 -0.275800 -0.284700
11 1305031102.175304 1305031102.175304 1305031102.160407 1305031102.1758 223.428040 345.6116631.340500 0.626600 1.657500 0.657400 0.612600 -0.294900 -0.324800
11 1305031102.275326 1305031102.275326 1305031102.262886 1305031102.2758 231.765509 330.7233251.316000 0.625400 1.630200 0.660900 0.619900 -0.289300 -0.308600
11 1305031102.375329 1305031102.375329 1305031102.363013 1305031102.3758 234.743176 322.9813901.292200 0.625600 1.604100 0.661700 0.621700 -0.291400 -0.301200
11 1305031102.475318 1305031102.475318 1305031102.462395 1305031102.4758 242.485112 308.0930521.268300 0.625500 1.577000 0.664400 0.629900 -0.284800 -0.284200
11 1305031102.575286 1305031102.575286 1305031102.562224 1305031102.5759 232.956576 302.1377171.243400 0.624400 1.550800 0.665100 0.632800 -0.275800 -0.284700
12 1305031102.175304 1305031102.175304 1305031102.160407 1305031102.1758 135.289082 57.9689831.340500 0.626600 1.657500 0.657400 0.612600 -0.294900 -0.324800
12 1305031102.275326 1305031102.275326 1305031102.262886 1305031102.2758 146.604218 38.3163771.316000 0.625400 1.630200 0.660900 0.619900 -0.289300 -0.308600
13 1305031102.175304 1305031102.175304 1305031102.160407 1305031102.1758 77.522333 125.8598011.340500 0.626600 1.657500 0.657400 0.612600 -0.294900 -0.324800
13 1305031102.275326 1305031102.275326 1305031102.262886 1305031102.2758 85.859801 107.3982631.316000 0.625400 1.630200 0.660900 0.619900 -0.289300 -0.308600
13 1305031102.375329 1305031102.375329 1305031102.363013 1305031102.3758 87.646402 97.8697271.292200 0.625600 1.604100 0.661700 0.621700 -0.291400 -0.301200
13 1305031102.475318 1305031102.475318 1305031102.462395 1305031102.4758 93.006203 79.4081891.268300 0.625500 1.577000 0.664400 0.629900 -0.284800 -0.284200
13 1305031102.575286 1305031102.575286 1305031102.562224 1305031102.5759 81.095533 60.3511171.243400 0.624400 1.550800 0.665100 0.632800 -0.275800 -0.284700
14 1305031102.175304 1305031102.175304 1305031102.160407 1305031102.1758 387.795285 113.9491321.340500 0.626600 1.657500 0.657400 0.612600 -0.294900 -0.324800
14 1305031102.275326 1305031102.275326 1305031102.262886 1305031102.2758 403.874690 90.1277921.316000 0.625400 1.630200 0.660900 0.619900 -0.289300 -0.308600
14 1305031102.375329 1305031102.375329 1305031102.363013 1305031102.3758 410.425558 75.2394541.292200 0.625600 1.604100 0.661700 0.621700 -0.291400 -0.301200
14 1305031102.475318 1305031102.475318 1305031102.462395 1305031102.4758 425.313896 50.8225811.268300 0.625500 1.577000 0.664400 0.629900 -0.284800 -0.284200
15 1305031102.175304 1305031102.175304 1305031102.160407 1305031102.1758 424.718362 112.7580651.340500 0.626600 1.657500 0.657400 0.612600 -0.294900 -0.324800
15 1305031102.275326 1305031102.275326 1305031102.262886 1305031102.2758 442.584367 87.1501241.316000 0.625400 1.630200 0.660900 0.619900 -0.289300 -0.308600
15 1305031102.375329 1305031102.375329 1305031102.363013 1305031102.3758 453.899504 71.0707201.292200 0.625600 1.604100 0.661700 0.621700 -0.291400 -0.301200
15 1305031102.475318 1305031102.475318 1305031102.462395 1305031102.4758 469.383375 47.8449131.268300 0.625500 1.577000 0.664400 0.629900 -0.284800 -0.284200
16 1305031102.275326 1305031102.275326 1305031102.262886 1305031102.2758 530.723325 392.6588091.316000 0.625400 1.630200 0.660900 0.619900 -0.289300 -0.308600
16 1305031102.375329 1305031102.375329 1305031102.363013 1305031102.3758 546.802730 389.0856081.292200 0.625600 1.604100 0.661700 0.621700 -0.291400 -0.301200
16 1305031102.475318 1305031102.475318 1305031102.462395 1305031102.4758 563.477667 374.7928041.268300 0.625500 1.577000 0.664400 0.629900 -0.284800 -0.284200
16 1305031102.575286 1305031102.575286 1305031102.562224 1305031102.5759 562.882134 374.1972701.243400 0.624400 1.550800 0.665100 0.632800 -0.275800 -0.284700
17 1305031102.175304 1305031102.175304 1305031102.160407 1305031102.1758 327.050868 281.8895781.340500 0.626600 1.657500 0.657400 0.612600 -0.294900 -0.324800
17 1305031102.275326 1305031102.275326 1305031102.262886 1305031102.2758 340.152605 265.8101741.316000 0.625400 1.630200 0.660900 0.619900 -0.289300 -0.308600
17 1305031102.375329 1305031102.375329 1305031102.363013 1305031102.3758 347.894541 258.6637721.292200 0.625600 1.604100 0.661700 0.621700 -0.291400 -0.301200
17 1305031102.475318 1305031102.475318 1305031102.462395 1305031102.4758 356.232010 243.1799011.268300 0.625500 1.577000 0.664400 0.629900 -0.284800 -0.284200
17 1305031102.575286 1305031102.575286 1305031102.562224 1305031102.5759 352.658809 228.8870971.243400 0.624400 1.550800 0.665100 0.632800 -0.275800 -0.284700
18 1305031102.375329 1305031102.375329 1305031102.363013 1305031102.3758 530.723325 265.8101741.292200 0.625600 1.604100 0.661700 0.621700 -0.291400 -0.301200
18 1305031102.475318 1305031102.475318 1305031102.462395 1305031102.4758 547.398263 249.7307691.268300 0.625500 1.577000 0.664400 0.629900 -0.284800 -0.284200
18 1305031102.575286 1305031102.575286 1305031102.562224 1305031102.5759 547.398263 238.4156331.243400 0.624400 1.550800 0.665100 0.632800 -0.275800 -0.284700
19 1305031102.175304 1305031102.175304 1305031102.160407 1305031102.1758 250.227047 270.5744421.340500 0.626600 1.657500 0.657400 0.612600 -0.294900 -0.324800
19 1305031102.275326 1305031102.275326 1305031102.262886 1305031102.2758 258.564516 253.8995041.316000 0.625400 1.630200 0.660900 0.619900 -0.289300 -0.308600
19 1305031102.375329 1305031102.375329 1305031102.363013 1305031102.3758 264.519851 243.7754341.292200 0.625600 1.604100 0.661700 0.621700 -0.291400 -0.301200
19 1305031102.475318 1305031102.475318 1305031102.462395 1305031102.4758 271.070720 228.2915631.268300 0.625500 1.577000 0.664400 0.629900 -0.284800 -0.284200
19 1305031102.575286 1305031102.575286 1305031102.562224 1305031102.5759 264.519851 213.4032261.243400 0.624400 1.550800 0.665100 0.632800 -0.275800 -0.284700
20 1305031102.175304 1305031102.175304 1305031102.160407 1305031102.1758 221.641439 230.6736971.340500 0.626600 1.657500 0.657400 0.612600 -0.294900 -0.324800
20 1305031102.275326 1305031102.275326 1305031102.262886 1305031102.2758 227.001241 214.5942931.316000 0.625400 1.630200 0.660900 0.619900 -0.289300 -0.308600
20 1305031102.375329 1305031102.375329 1305031102.363013 1305031102.3758 231.765509 204.4702231.292200 0.625600 1.604100 0.661700 0.621700 -0.291400 -0.301200
20 1305031102.475318 1305031102.475318 1305031102.462395 1305031102.4758 237.720844 183.6265511.268300 0.625500 1.577000 0.664400 0.629900 -0.284800 -0.284200
20 1305031102.575286 1305031102.575286 1305031102.562224 1305031102.5759 231.169975 171.7158811.243400 0.624400 1.550800 0.665100 0.632800 -0.275800 -0.284700
